title,link
A Star is Born,https://www.the-numbers.com/movie/Star-is-Born-A-(2018)#tab=summary
X-Men 2,https://www.the-numbers.com/movie/X-Men-2-(2003)#tab=summary
Doctor Seuss' The Lorax,https://www.the-numbers.com/movie/Lorax-The#tab=summary
Solo: A Star Wars Story,https://www.the-numbers.com/movie/Solo-A-Star-Wars-Story#tab=summary
Venom,https://www.the-numbers.com/movie/Venom-(2018)#tab=summary
Austin Powers in Goldmember,https://www.the-numbers.com/movie/Austin-Powers-in-Goldmember#tab=summary
Back to the Future,https://www.the-numbers.com/movie/Back-to-the-Future#tab=summary
It: Chapter Two,https://www.the-numbers.com/movie/It-Chapter-Two-(2019)#tab=summary
300,https://www.the-numbers.com/movie/300#tab=summary
Fast Five,https://www.the-numbers.com/movie/Fast-Five#tab=summary
Coco,https://www.the-numbers.com/movie/Coco-(2017)#tab=summary
Mission: ImpossibleâGhost Protocol,https://www.the-numbers.com/movie/Mission-Impossible-Ghost-Protocol#tab=summary
Wedding Crashers,https://www.the-numbers.com/movie/Wedding-Crashers#tab=summary
Sherlock Holmes,https://www.the-numbers.com/movie/Sherlock-Holmes-(2009)#tab=summary
Dawn of the Planet of the Apes,https://www.the-numbers.com/movie/Dawn-of-the-Planet-of-the-Apes#tab=summary
Batman Begins,https://www.the-numbers.com/movie/Batman-Begins#tab=summary
Charlie and the Chocolate Factory,https://www.the-numbers.com/movie/Charlie-and-the-Chocolate-Factory#tab=summary
Ratatouille,https://www.the-numbers.com/movie/Ratatouille#tab=summary
Thor: The Dark World,https://www.the-numbers.com/movie/Thor-The-Dark-World#tab=summary
Beauty and the Beast,https://www.the-numbers.com/movie/Beauty-and-the-Beast-(1991)#tab=summary
Austin Powers: The Spy Who Shagged Me,https://www.the-numbers.com/movie/Austin-Powers-The-Spy-Who-Shagged-Me#tab=summary
Bad Boys For Life,https://www.the-numbers.com/movie/Bad-Boys-For-Life-(Bad-Boys-3)-(2020)#tab=summary
Terminator 2: Judgment Day,https://www.the-numbers.com/movie/Terminator-2-Judgment-Day#tab=summary
