Name,Distributors,Mpaa rating,Genre,Opening weekend,Domestic box office,International box office,Worldwide box office,Synopsis,Link
The Passion of the Christ (2004),United States,R,Live Action,"$83,848,082","$370,782,930","$251,558,190","$622,341,120","This depiction of the last 12 hours in the life of Jesus opens with his betrayal by Judas, his condemnation by the Pharisees and his appearance before Pontius Pilate. Pilate defers to King Herod, but Herod returns Jesus. Pilate then asks the crowd to choose between Jesus and Barrabas. The crowd chooses Barrabas. Pilate washes his hands of the matter, and Jesus is forced to carry the cross through the streets to Golgotha where Roman soldiers crucify him. Although Jesus briefly fears that God, his Father, has abandoned him, he regains his faith, proclaiming 'Into Thy hands I command my spirit.' At the moment of his death, nature itself over-turns. ",https://www.the-numbers.com/movie/Passion-of-the-Christ-The#tab=summary
The Secret Life of Pets (2016),Illumination Entertainment/Universal Pictures/Chris Meledandri/Dentsu Inc./Fuji Television Network,PG,Adventure,"$104,352,905","$368,384,330","$518,222,082","$886,606,412","For one bustling Manhattan apartment building, the real day starts after the folks on two legs leave for work and school. That's when the pets of every stripe, fur and feather begin their own nine-to-five routine: hanging out with  each  other,  trading  humiliating  stories  about their owners, auditioning adorable looks to get better snacks and watching Animal Planet like it is reality TV.",https://www.the-numbers.com/movie/Secret-Life-of-Pets-The#tab=summary
Despicable Me 2 (2013),Universal Pictures/Chris Meledandri/Illumination Entertainment,PG,Adventure,"$84,227,980","$368,065,385","$607,151,450","$975,216,835",,https://www.the-numbers.com/movie/Despicable-Me-2#tab=summary
The Jungle Book (2016),United States,PG,Animation/Live Action,"$103,261,464","$364,001,123","$598,853,424","$962,854,547","An adventure about Mowgli, a man-cub raised by a family of wolves. But Mowgli finds he is no longer welcome in the jungle when fearsome tiger Shere Khan, who bears the scars of Man, promises to eliminate what he sees as a threat. Urged to abandon the only home he's ever known, Mowgli embarks on a captivating journey of self-discovery, guided by panther-turned-stern mentor Bagheera, and the free-spirited bear Baloo. Along the way, Mowgli encounters jungle creatures who don't exactly have his best interests at heart, including Kaa, a python whose seductive voice and gaze hypnotizes the man-cub, and the smooth-talking King Louie, who tries to coerce Mowgli into giving up the secret to the elusive and deadly red flower: fire. ",https://www.the-numbers.com/movie/Jungle-Book-The-(2016)#tab=summary
Deadpool (2016),Marvel Studios,R,Action,"$132,434,639","$363,070,709","$421,954,884","$785,025,593","The origin story of former Special Forces operative turned mercenary Wade Wilson, who after being subjected to a rogue experiment that leaves him with accelerated healing powers, adopts the alter ego Deadpool. Armed with his new abilities and a dark, twisted sense of humor, Deadpool hunts down the man who nearly destroyed his life.",https://www.the-numbers.com/movie/Deadpool#tab=summary
Inside Out (2015),United States,PG,Digital Animation,"$90,440,272","$356,461,711","$501,100,000","$857,561,711","Growing up can be a bumpy road, and it's no exception for Riley, who is uprooted from her Midwest life when her father starts a new job in San Francisco. Like all of us, Riley is guided by her emotions, Fear, Anger, Disgust and Sadness. The emotions live in Headquarters, the control center inside Riley's mind, where they help advise her through everyday life. As Riley and her emotions struggle to adjust to a new life in San Francisco, turmoil ensues in Headquarters. Although Joy, Riley's main and most important emotion, tries to keep things positive, the emotions conflict on how best to navigate a new city, house and school.",https://www.the-numbers.com/movie/Inside-Out-(2015)#tab=summary
Aladdin (2019),India/United States,PG,Animation/Live Action,"$91,500,929","$355,559,216","$695,400,000","$1,050,959,216","The charming street rat Aladdin, the courageous and self-determined Princess Jasmine and the Genie who may be the key to their future. ",https://www.the-numbers.com/movie/Aladdin-(2019)#tab=summary
Furious 7 (2015),Original Film/One Race Films/Universal Pictures/MRC/China Film Company/Dentsu Inc.,PG-13,Action,"$147,163,560","$353,007,020","$1,165,715,774","$1,518,722,794",,https://www.the-numbers.com/movie/Furious-7#tab=summary
Transformers: Dark of the Moon (2011),United States,PG-13,Animation/Live Action,"$97,852,865","$352,390,543","$771,403,536","$1,123,794,079",When a mysterious event from Earth's past erupts into the present day it threatens to bring a war to Earth so big that the Transformers alone will not be able to save us.  ,https://www.the-numbers.com/movie/Transformers-Dark-of-the-Moon#tab=summary
American Sniper (2014),United States,R,Live Action,"$633,456","$350,126,372","$197,200,000","$547,326,372","U.S. Navy SEAL Chris Kyle is sent to Iraq with only one mission: to protect his brothers-in-arms. His pinpoint accuracy saves countless lives on the battlefield and, as stories of his courageous exploits spread, he earns the nickname 'Legend.' However, his reputation is also growing behind enemy lines, putting a price on his head and making him a prime target of insurgents. He is also facing a different kind of battle on the home front: striving to be a good husband and father from halfway around the world. Despite the danger, as well as the toll on his family at home, Chris serves through four harrowing tours of duty in Iraq, personifying the spirit of the SEAL creed to 'leave no one behind.' But upon returning to his wife, Taya Renae Kyle, and kids, Chris finds that it is the war he can't leave behind.",https://www.the-numbers.com/movie/American-Sniper#tab=summary
